is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,33,91.3,76.3,8.2,0.1394548291393124,40.20980998603403,-0.45,1.98,9,0,2,1,0
0,-20,71.4,79.2,8,22.20249199357046,30.55563822796327,0.26,2.02,9,1,2,0,0
0,36,103.4,72.3,6.4,11.76287063878775,29.29605334347784,-0.04,2.75,9,3,2,1,0
0,4,100.8,72.2,8.4,3.3512693881129225,29.01933520157213,-0.65,1.81,8,2,1,1,0
0,20,102.3,67.8,5.9,-4.212840847643207,26.567050841633343,-0.4,2.78,8,0,0,1,0
0,28,90.4,79.1,7.7,-1.0916103585845696,33.46686550412274,-0.25,2.08,8,1,2,1,1
0,27,90.4,74.7,8.2,18.905036875688317,37.74424413555305,-0.23,1.58,8,1,2,0,1
0,12,76.9,70.4,6.6,-6.592266957084519,38.52906443581672,-0.94,2.14,7,2,2,0,0
0,8,101.5,74.3,7,-4.231282639596625,34.62549893947515,-0.15,2.7,7,3,2,1,0
0,-25,90.4,77,6.7,-2.546550572183272,34.45585161007497,0.17,2.35,6,0,0,1,1
0,16,80.5,69.6,6.6,1.490164308229602,28.499117312794155,0.48,3.19,6,0,0,1,0
0,50,93.4,73.8,7.1,10.897040586565408,30.34291853530065,-0.5,2.6,6,2,2,1,0
0,68,83.1,80,7.3,3.3438323814648707,36.02309276059985,-0.7,2.35,5,0,0,0,0
0,7,104.6,78,7.9,16.92602099158079,31.62092084333681,-0.11,2.38,5,2,2,1,0
0,-12,91.4,78.2,7.5,15.855216646953258,38.760725222882535,0.18,1.43,5,0,0,0,0
0,1,78.9,78.7,8.9,14.70636554075402,34.490891833934334,-0.37,1.15,5,1,1,1,0
0,20,68,66.5,6.4,-5.2532884828092605,39.55883158430309,-0.99,2.56,5,0,1,0,0
0,16,92.3,62.8,7.1,13.85435271835832,24.89979053927987,-0.41,3.18,5,0,1,1,0
0,38,96.1,78.4,7.2,7.515005306434641,31.705888626460517,-0.52,1.83,4,0,1,1,0
1,27,106.8,73.3,7,14.393092654409394,39.12141152783298,-0.2,2.63,4,0,0,0,0
0,47,80.8,67.9,7.7,1.226748195582039,37.7306876292645,-0.58,2.04,4,0,0,0,0
0,20,80.8,74.9,8.4,17.04995133161872,35.37558391558395,0.25,1.76,4,1,2,1,0
1,28,98.2,74.8,6.9,13.526196754465293,32.149977749351166,-0.91,2.82,4,2,2,0,0
0,3,103.9,74.5,8,15.700705152566366,27.481864063370065,0.55,2.42,4,1,1,0,0
0,14,111.4,77.4,7.2,14.514311954239515,34.69677143425712,0.2,2.2,4,0,1,1,0
0,-73,54.7,67.1,7.2,13.50078942132518,21.397321120478075,-0.54,2.73,4,2,2,1,0
0,-25,98.9,75.7,7.2,-0.271992806418741,28.005413556035545,-0.42,2.45,4,3,2,1,0
0,47,100.4,80.2,8.1,17.351464199435206,42.133014348504695,0.43,1.42,3,2,2,1,0
0,8,102.3,69.1,5.9,7.5338805418502,26.55242669028698,-0.34,3.2,3,2,1,0,0
0,-7,107.4,76.6,6.1,-2.4154979726192827,35.770455947946445,-0.3,2.49,3,1,1,1,0
0,44,100.5,80.3,7.4,11.435068292678984,40.24058216280963,0.3,2.24,3,2,0,0,0
0,33,103.1,72.3,7.3,14.483670218449078,38.36853148542168,-0.47,2.21,3,0,0,0,0
0,-3,101.3,65.2,7.4,3.9860745833088846,33.59421492759848,-0.07,2.14,2,3,2,0,0
0,-48,56.4,66.9,7,7.203370591170738,28.7372801854836,0.66,2.98,2,0,1,1,0
0,60,91.5,68.3,6.8,14.589626175066725,32.56783604314522,-0.58,2.76,2,1,0,1,0
0,-43,76,70.2,7.3,1.1934239973429248,35.38077968801683,0.13,2.07,2,1,1,1,0
0,21,104.3,75.7,7.6,6.572331579786495,34.21770708736145,-0.29,2,1,1,0,1,0
0,-9,98,76.8,7,8.867546244627539,36.833182593660005,-0.07,2.37,1,2,1,0,0
0,14,93.5,81.5,7.3,12.606373585709338,29.257904875971704,0.47,2.49,1,2,0,1,0
0,0,92,75.8,8.1,19.7779801413787,37.32568214320928,0.85,2.06,1,0,1,0,0
0,-7,104.2,69.9,7.2,24.87458543154152,25.360364247035243,0.17,2.86,1,3,2,1,0
0,-9,69.9,75.7,6.9,0.3729756575128122,31.63104587902729,0.84,2.51,1,2,2,1,0
0,13,88.3,74.6,7.1,5.530291516211018,30.72507480901812,0.78,2.14,9,2,1,0,0
0,-26,63.3,71.8,7.5,16.685623578204744,22.750894100059533,0.9,2.8,9,2,2,0,0
0,10,94.3,68.9,6.4,13.662249042450782,24.147314232944733,-0.48,2.83,9,2,2,1,0
0,-21,104.4,77.8,7.5,15.216594172935878,20.24476422896968,-0.42,2.03,8,1,0,0,0
0,-1,102,85.9,7.9,-0.8741021074717237,30.363787126599103,-0.16,2.05,8,1,0,1,0
0,49,86.7,70.5,6.8,5.1020699279944495,33.61703998034454,-0.13,2.26,8,0,0,1,0
0,44,95,72.7,8.2,14.71284728807062,35.95328695322872,0.16,1.91,8,0,0,1,0
0,-13,103.6,77.4,7.7,10.160117544386116,23.92184624385097,0.31,1.97,8,2,2,0,0
0,-64,62.4,59.6,6.7,0.8486731790091482,26.13633899620841,0.97,2.31,8,0,2,0,0
0,38,91.1,66.7,6.4,4.224290558726807,24.200944727066076,0.22,3.12,7,1,2,0,1
0,53,90.4,69.8,6.5,17.51346782648626,37.79456338789338,0.26,2.96,7,0,0,0,1
0,23,101.4,68.4,7.7,7.620097533532079,44.69169857170701,0.32,2.03,7,1,1,1,0
0,-9,98.9,70.9,6.5,0.4292073606904019,39.13837150724767,-0.14,1.75,7,2,2,1,0
0,-12,102.5,68.9,7.3,5.701199358813517,25.49039124636005,0.85,1.92,6,3,2,0,1
0,18,80.4,67.3,7.4,1.6957581364755936,26.395919130140967,-0.98,2.07,6,1,0,1,0
0,59,73.7,72.3,8,13.076253880393546,18.95885985759177,1.01,2.35,6,1,1,0,0
0,46,98.4,78.1,7.3,-0.2923411997408267,23.810279488050472,0.33,2.33,5,0,0,0,1
0,18,96.4,69.4,6.8,-11.582623940833454,19.71876221135197,0.91,2.38,5,2,2,0,1
0,40,95.7,67.8,7.8,6.924994958832104,41.102833710780864,0.09,2.05,5,0,1,1,0
0,23,94.2,68.4,7.9,18.46145043310377,25.143240988253996,0.32,2.74,5,0,0,0,0
0,30,85.4,74,8.4,13.194796439102625,21.53820703986529,0.69,2.24,4,0,2,0,1
0,22,92.9,60.8,6.2,4.101829531757488,23.515121178493377,0.11,3.22,4,0,1,0,1
0,34,101.9,70.9,7.4,14.499989630100371,24.557773616478123,-0.14,3.46,4,0,1,0,0
0,-14,76.8,69.2,7.8,10.082910416921704,27.60460812397804,-0.9,1.97,4,0,2,1,0
0,35,99,69.3,7.5,11.024478835287988,29.135377447429786,0.58,3.03,4,2,2,0,0
0,8,80.9,78,6.9,0.3212640454779144,18.396272506015244,-0.39,2.96,4,2,1,0,0
0,-1,82.3,69.1,7.6,0.1706825360350862,22.85380268477965,1.11,2.32,3,0,0,0,1
0,62,72.3,77,6.7,12.137704799378074,28.53088466297139,-0.35,2.87,3,0,0,0,1
