scoring_play,score_value,shot_x,shot_y,shot_distance,shot_type
TRUE,3,-17,22,27.80287754891569,Running Pullup Jump Shot
FALSE,0,-1,33,33.015148038438355,Pullup Jump Shot
FALSE,0,-14,16,21.2602916254693,Step Back Jump Shot
TRUE,3,-17,19,25.495097567963924,Running Pullup Jump Shot
FALSE,0,-18,20,26.90724809414742,Jump Shot
FALSE,0,-1,0,1,Driving Layup Shot
TRUE,2,5,6,7.810249675906654,Driving Floating Bank Jump Shot
FALSE,0,6,30,30.59411708155671,Step Back Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-16,21,26.40075756488817,Jump Shot
FALSE,0,-19,13,23.021728866442675,Jump Shot
TRUE,2,0,4,4,Driving Floating Bank Jump Shot
TRUE,2,2,1,2.23606797749979,Running Layup Shot
FALSE,0,-7,32,32.7566787083184,Jump Shot
TRUE,2,1,1,1.4142135623730951,Running Layup Shot
FALSE,0,-20,14,24.413111231467404,Step Back Jump Shot
TRUE,2,-4,14,14.560219778561036,Pullup Jump Shot
FALSE,0,2,5,5.385164807134504,Driving Layup Shot
FALSE,0,2,2,2.8284271247461903,Layup Shot Putback
FALSE,0,2,0,2,Driving Layup Shot
TRUE,2,-11,12,16.278820596099706,Step Back Jump Shot
TRUE,3,-14,22,26.076809620810597,Step Back Jump Shot
FALSE,0,-12,27,29.546573405388315,Jump Shot
FALSE,0,-17,21,27.018512172212592,Pullup Jump Shot
FALSE,0,-20,15,25,Jump Shot
FALSE,0,-20,16,25.612496949731394,Jump Shot
FALSE,0,8,3,8.54400374531753,Driving Floating Bank Jump Shot
TRUE,2,-2,1,2.23606797749979,Layup Driving Reverse
FALSE,0,-18,19,26.1725046566048,Jump Shot
FALSE,0,6,24,24.73863375370596,Pullup Jump Shot
FALSE,0,-17,22,27.80287754891569,Pullup Jump Shot
FALSE,0,0,6,6,Pullup Jump Shot
FALSE,0,2,3,3.605551275463989,Driving Layup Shot
FALSE,0,17,21,27.018512172212592,Jump Shot
FALSE,0,-18,17,24.758836806279895,Pullup Jump Shot
FALSE,0,13,23,26.419689627245813,Pullup Jump Shot
TRUE,3,-14,22,26.076809620810597,Jump Shot
TRUE,2,0,1,1,Driving Layup Shot
TRUE,3,21,11,23.706539182259394,Step Back Jump Shot
FALSE,0,-12,30,32.31098884280702,Pullup Jump Shot
FALSE,0,-18,21,27.65863337187866,Jump Shot
FALSE,0,19,16,24.839484696748443,Step Back Jump Shot
FALSE,0,5,1,5.0990195135927845,Driving Layup Shot
TRUE,3,-1,27,27.018512172212592,Pullup Jump Shot
TRUE,3,-17,25,30.23243291566195,Jump Shot
FALSE,0,1,28,28.0178514522438,Jump Shot
FALSE,0,-2,21,21.095023109728988,Step Back Jump Shot
FALSE,0,4,26,26.30589287593181,Pullup Jump Shot
FALSE,0,2,2,2.8284271247461903,Driving Floating Bank Jump Shot
FALSE,0,11,22,24.596747752497688,Step Back Jump Shot
TRUE,3,-10,24,26,Step Back Jump Shot
TRUE,3,-1,27,27.018512172212592,Jump Shot
TRUE,2,3,2,3.605551275463989,Driving Floating Bank Jump Shot
TRUE,3,-21,20,29,Jump Shot
FALSE,0,0,4,4,Turnaround Jump Shot
FALSE,0,0,1,1,Driving Finger Roll Layup
FALSE,0,-21,17,27.018512172212592,Step Back Jump Shot
TRUE,2,11,16,19.4164878389476,Pullup Jump Shot
FALSE,0,-18,18,25.45584412271571,Fade Away Jump Shot
FALSE,0,1,2,2.23606797749979,Driving Layup Shot
TRUE,3,-15,23,27.459060435491963,Pullup Jump Shot
FALSE,0,-16,18,24.08318915758459,Pullup Jump Shot
FALSE,0,-20,13,23.853720883753127,Pullup Jump Shot
FALSE,0,-11,23,25.495097567963924,Pullup Jump Shot
TRUE,2,0,2,2,Running Layup Shot
TRUE,2,-1,2,2.23606797749979,Driving Finger Roll Layup
TRUE,3,-10,24,26,Step Back Jump Shot
TRUE,3,6,26,26.68332812825267,Step Back Jump Shot
FALSE,0,-9,25,26.570660511172846,Pullup Jump Shot
FALSE,0,20,19,27.586228448267445,Jump Shot
FALSE,0,-20,12,23.323807579381203,Jump Shot
FALSE,0,0,7,7,Driving Floating Jump Shot
FALSE,0,0,6,6,Pullup Jump Shot
FALSE,0,5,19,19.6468827043885,Step Back Jump Shot
FALSE,0,2,26,26.076809620810597,Pullup Jump Shot
TRUE,2,-1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-2,26,26.076809620810597,Pullup Jump Shot
TRUE,3,-10,28,29.732137494637012,Pullup Jump Shot
TRUE,2,-1,12,12.041594578792296,Pullup Jump Shot
FALSE,0,0,8,8,Step Back Jump Shot
TRUE,2,0,1,1,Running Finger Roll Layup
TRUE,2,0,1,1,Running Layup Shot
TRUE,3,12,23,25.942243542145693,Step Back Jump Shot
FALSE,0,-2,27,27.073972741361768,Pullup Jump Shot
FALSE,0,-1,1,1.4142135623730951,Floating Jump Shot
TRUE,2,1,1,1.4142135623730951,Driving Layup Shot
FALSE,0,-16,27,31.38470965295043,Step Back Jump Shot
FALSE,0,11,6,12.529964086141668,Driving Floating Bank Jump Shot
FALSE,0,2,6,6.324555320336759,Driving Floating Jump Shot
FALSE,0,-11,26,28.231188426986208,Running Pullup Jump Shot
TRUE,2,1,0,1,Driving Finger Roll Layup
FALSE,0,-23,6,23.769728648009426,Jump Shot
FALSE,0,12,6,13.416407864998739,Driving Floating Bank Jump Shot
TRUE,3,-19,14,23.600847442411894,Step Back Jump Shot
FALSE,0,14,27,30.4138126514911,Jump Shot
FALSE,0,2,6,6.324555320336759,Driving Floating Jump Shot
FALSE,0,-11,25,27.313000567495326,Jump Shot
TRUE,2,6,9,10.816653826391969,Driving Floating Bank Jump Shot
FALSE,0,-1,28,28.0178514522438,Step Back Jump Shot
FALSE,0,0,1,1,Driving Finger Roll Layup
TRUE,2,-5,13,13.92838827718412,Driving Floating Jump Shot
FALSE,0,0,1,1,Layup Driving Reverse
