county,year,week,first_date,last_date,doses_shipped,cumulative_doses_shipped,doses_delivered,cumulative_doses_delivered,cdc_pharmacy_doses_delivered,cumulative_cdc_pharmacy_doses_delivered,pfizer_doses_shipped,cumulative_pfizer_doses_shipped,pfizer_doses_delivered,cumulative_pfizer_doses_delivered,moderna_doses_shipped,cumulative_moderna_doses_shipped,moderna_doses_delivered,cumulative_moderna_doses_delivered,jj_doses_shipped,cumulative_jj_doses_shipped,jj_doses_delivered,cumulative_jj_doses_delivered
Alameda,2021,1,2021-01-01,2021-01-07,32250,653400,29325,621150,6825,101400,21450,354900,18525,333450,10800,298500,10800,287700,0,0,0,0
Alameda,2021,2,2021-01-08,2021-01-14,51750,969150,50650,905700,20475,199875,25350,536250,25350,499200,26400,432900,25300,406500,0,0,0,0
Alameda,2021,3,2021-01-15,2021-01-21,48750,1291200,48875,1226850,15600,312975,37050,741000,36075,688350,11700,550200,12800,538500,0,0,0,0
Alameda,2021,4,2021-01-22,2021-01-28,38800,1638250,42200,1589700,11700,428025,15600,941850,19500,916500,23200,696400,22700,673200,0,0,0,0
Alameda,2021,5,2021-01-29,2021-02-04,48350,1878900,48450,1837375,4875,484575,29250,1060800,29250,1038375,19100,818100,19200,799000,0,0,0,0
Alameda,2021,6,2021-02-05,2021-02-11,64275,2259325,42250,2187250,3600,512250,39975,1282125,17550,1234350,24300,977200,24700,952900,0,0,0,0
Alameda,2021,7,2021-02-12,2021-02-18,42900,2679800,65325,2615450,975,531225,42900,1626300,65325,1561950,0,1053500,0,1053500,0,0,0,0
Alameda,2021,8,2021-02-19,2021-02-25,178140,3497855,132120,3255755,10620,566505,119340,2205255,77220,2029755,58800,1292600,54900,1226000,0,0,0,0
Alameda,2021,9,2021-02-26,2021-03-04,136450,4571415,177460,4396355,17720,672995,87750,2928315,126360,2801955,33800,1591400,36500,1557600,14900,51700,14600,36800
Alameda,2021,10,2021-03-05,2021-03-11,140850,5526225,144660,5349275,12920,793365,76050,3470025,79560,3358875,42400,1868100,42400,1824700,22400,188100,22700,165700
Alameda,2021,11,2021-03-12,2021-03-18,124820,6447795,114290,6287875,11450,862215,88920,4056195,78390,3932175,30800,2111200,30800,2080400,5100,280400,5100,275300
Alameda,2021,12,2021-03-19,2021-03-25,142510,7420415,135220,7238125,26840,998115,73710,4671615,77220,4558125,42800,2374600,44000,2331800,26000,374200,14000,348200
Alameda,2021,13,2021-03-26,2021-04-01,170910,8444135,148510,8254505,25570,1173915,50310,5064735,50310,4995705,44200,2682400,42800,2638200,76400,697000,55400,620600
Alameda,2021,14,2021-04-02,2021-04-08,129080,9584345,161860,9433545,28780,1361525,51480,5430945,56160,5360745,43100,3006100,43200,2960000,34500,1147300,62500,1112800
Alameda,2021,15,2021-04-09,2021-04-15,125730,10444355,122540,10298735,21250,1558165,80730,5890755,72540,5790135,35100,3251600,35100,3216500,9900,1302000,14900,1292100
Alameda,2021,16,2021-04-16,2021-04-22,158790,11447115,133950,11236845,28480,1735195,90090,6555315,87750,6413745,68700,3567400,46200,3498700,0,1324400,0,1324400
Alameda,2021,17,2021-04-23,2021-04-29,152080,12610145,165540,12385525,34770,1959105,109980,7291245,107640,7108725,40400,3992800,57900,3952400,1700,1326100,0,1324400
Alameda,2021,18,2021-04-30,2021-05-06,108370,13373075,115540,13240135,38310,2226625,80730,7814235,81900,7708935,24840,4213640,29140,4188800,2800,1345200,4500,1342400
Alameda,2021,19,2021-05-07,2021-05-13,87170,14101495,91080,13993265,33770,2475775,62010,8343075,65520,8260005,24160,4398820,24560,4374660,1000,1359600,1000,1358600
Alameda,2021,20,2021-05-14,2021-05-20,108210,14825655,106490,14685855,42840,2704525,80730,8885955,78390,8773635,26380,4573100,27000,4546720,1100,1366600,1100,1365500
Alameda,2021,21,2021-05-21,2021-05-27,64750,15391265,71270,15296095,37590,3014775,47970,9305985,54990,9227595,15980,4712480,15680,4696500,800,1372800,600,1372000
Alameda,2021,22,2021-05-28,2021-06-03,22740,15678875,18600,15642095,13620,3194515,18720,9520095,14040,9487335,3620,4781480,3960,4777860,400,1377300,600,1376900
Alameda,2021,23,2021-06-04,2021-06-10,5320,15787375,14310,15782055,13040,3311545,3960,9605235,12150,9601275,1360,4803140,2160,4801780,0,1379000,0,1379000
Alameda,2021,24,2021-06-11,2021-06-17,15070,15873395,14970,15851485,6750,3344315,7830,9657255,7830,9642585,7240,4837140,7140,4829900,0,1379000,0,1379000
Alameda,2021,25,2021-06-18,2021-06-24,19280,15962165,11940,15939645,8650,3394625,15120,9711885,8820,9693525,4160,4871280,3120,4867120,0,1379000,0,1379000
Alameda,2021,26,2021-06-25,2021-07-01,10420,16104965,19640,16086175,15840,3515965,7560,9830505,16200,9814575,2860,4895460,3440,4892600,0,1379000,0,1379000
Alameda,2021,27,2021-07-02,2021-07-08,3250,16139255,4400,16141405,3950,3557695,2250,9848955,2700,9852105,1000,4911300,1700,4910300,0,1379000,0,1379000
Alameda,2021,28,2021-07-09,2021-07-15,7690,16180745,8250,16178905,6900,3589345,4050,9875505,4950,9877305,3640,4926240,3300,4922600,0,1379000,0,1379000
Alameda,2021,29,2021-07-16,2021-07-22,17730,16253665,17130,16259785,14330,3656025,10350,9913305,10350,9926805,7380,4961360,6780,4953980,0,1379000,0,1379000
Alameda,2021,30,2021-07-23,2021-07-29,24720,16391635,14950,16363765,14050,3746505,20700,10009155,11250,9985305,4020,5003480,3700,4999460,0,1379000,0,1379000
Alameda,2021,31,2021-07-30,2021-08-05,15670,16536425,18930,16520755,16680,3893145,10350,10121205,13050,10110855,5320,5036220,5880,5030900,0,1379000,0,1379000
Alameda,2021,32,2021-08-06,2021-08-12,35020,16696095,35890,16661075,28890,4000665,29700,10244055,30150,10214355,5320,5073040,5740,5067720,0,1379000,0,1379000
Alameda,2021,33,2021-08-13,2021-08-19,35390,16952615,35430,16913625,29780,4211265,24750,10448355,27450,10420005,10640,5125260,7980,5114620,0,1379000,0,1379000
Alameda,2021,34,2021-08-20,2021-08-26,33680,17203085,33960,17161645,27340,4415505,20160,10615485,18900,10588125,13520,5208600,15060,5194520,0,1379000,0,1379000
Alameda,2021,35,2021-08-27,2021-09-02,56450,17555195,46800,17453115,19810,4597055,40950,10856235,30420,10769655,15500,5319960,16380,5304460,0,1379000,0,1379000
Alameda,2021,36,2021-09-03,2021-09-09,15810,17761435,22590,17745625,16640,4749395,8190,10991955,15210,10983765,7620,5390480,7380,5382860,0,1379000,0,1379000
Alameda,2021,37,2021-09-10,2021-09-16,45870,17967945,42350,17922075,23860,4859105,36270,11135865,36270,11099595,7700,5451180,6080,5443480,1900,1380900,0,1379000
Alameda,2021,38,2021-09-17,2021-09-23,14030,18226595,22390,18200865,11230,5013465,8190,11342955,15210,11323065,3740,5489240,5280,5485500,2100,1394400,1900,1392300
Alameda,2021,39,2021-09-24,2021-09-30,25000,18364205,23360,18324885,7470,5051715,15660,11426925,15660,11397225,6240,5525180,4900,5518660,3100,1412100,2800,1409000
Alameda,2021,40,2021-10-01,2021-10-07,44920,18591565,45910,18538645,27230,5147495,39060,11599725,37890,11553645,4160,5560340,5120,5555200,1700,1431500,2900,1429800
Alameda,2021,41,2021-10-08,2021-10-14,37740,18856405,23710,18803645,10980,5302325,31320,11822565,18450,11777205,5220,5590840,3660,5584640,1200,1443000,1600,1441800
Alameda,2021,42,2021-10-15,2021-10-21,27410,19127895,41550,19080785,28490,5480045,17550,12038835,31590,12002565,8460,5637160,8660,5627720,1400,1451900,1300,1450500
Alameda,2021,43,2021-10-22,2021-10-28,68890,19385575,57070,19309965,36460,5613055,41310,12189855,37170,12148545,23380,5726420,15600,5696320,4200,1469300,4300,1465100
Alameda,2021,44,2021-10-29,2021-11-04,84780,20025355,91440,19897775,27940,5901775,21060,12511695,25200,12448515,22820,5900160,25340,5876360,3400,1499800,3400,1496400
Alameda,2021,45,2021-11-05,2021-11-07,111080,17155640,100560,17060800,49810,5695355,38340,10495740,37440,10476120,28140,5237500,19320,5208380,4700,1042600,4500,1037900
Alameda,2021,46,2021-11-12,2021-11-17,88330,12597080,71720,12498500,31070,4162470,29430,7237320,19800,7204380,16700,4257260,24920,4239120,2300,600800,2200,598500
Alameda,2021,47,2021-11-19,2021-11-23,38540,7322020,74170,7278550,22100,2317970,25740,4234560,36270,4205310,2500,2372660,10800,2369340,0,348400,1100,348400
Alameda,2021,48,2021-11-29,2021-11-30,63470,10715075,58770,10636545,26450,3035930,37170,6075135,37170,6023925,17900,3482040,14100,3463420,3900,633000,3000,629100
Alameda,2021,49,2021-12-06,2021-12-07,84270,13019300,74160,12972700,26510,4280615,27270,7725360,23760,7708980,17700,3890140,13300,3871120,4300,746700,2600,742400
Alameda,2021,50,2021-12-10,2021-12-15,105260,13269765,103560,13150565,41940,4379090,56160,7621065,56160,7562565,21000,4084700,16900,4062100,600,677800,3000,677200
Alameda,2021,51,2021-12-19,2021-12-21,48570,11489465,65950,11435095,28580,3330110,24570,6015405,29250,5986155,15300,4081060,27300,4064040,500,574600,700,574100
Alameda,2021,52,2021-12-27,2021-12-29,34280,5421540,33010,5387450,18340,2004485,28080,3081780,26910,3054870,3400,1728960,3400,1724680,0,245500,0,245500
Alameda,2022,1,2022-01-03,2022-01-05,94630,13099305,82460,13026465,40960,4809285,63330,7521765,53460,7481985,19100,4100240,19000,4079180,1300,560400,1300,559100
Alameda,2022,2,2022-01-10,2022-01-14,46480,13898620,57580,13850380,20880,3843685,18180,7731420,26880,7713240,21100,4466100,21200,4443240,1400,797500,1400,796100
Alameda,2022,3,2022-01-19,2022-01-21,65400,10735495,65570,10702875,20770,3572650,42900,5935815,43170,5924115,10500,3536080,10500,3523860,1100,480000,1100,478900
Alameda,2022,4,2022-01-26,2022-01-28,51700,12887650,47200,12836730,15300,4223695,36300,7328670,33000,7294470,9100,4023280,9100,4012860,1200,544300,1200,543100
Alameda,2022,5,2022-02-01,2022-01-31,18400,9968265,22400,9948085,13900,3450170,9000,5694165,13200,5683965,4200,3109100,4200,3104620,0,404000,0,404000
Alameda,2022,6,2022-02-06,2022-02-10,40000,15290845,37400,15247105,26000,5157155,25200,8441445,21900,8415645,9600,5082400,9600,5071360,1100,646400,1100,645300
Alameda,2022,7,2022-02-16,2022-02-16,15700,9572785,18600,9556705,11800,3534910,6900,5583645,9300,5576745,5300,2848040,5300,2841860,300,402700,300,402400
Alameda,2022,8,2022-02-22,2022-02-25,14300,11314335,14400,11298415,8600,3624735,6000,6762435,6300,6756435,3800,3078300,3800,3073280,0,631200,0,631200
Alameda,2022,9,2022-03-03,2022-03-02,18000,10829590,15400,10809930,9500,3493215,9000,5991930,6900,5983530,4600,3513160,4600,3506800,400,488000,400,487600
Alameda,2022,10,2022-03-08,2022-03-07,9900,7674105,12100,7661245,6500,2414310,4500,4171425,6900,4166025,2600,2604680,2600,2600920,0,323800,0,323800
Alameda,2022,11,2022-03-14,2022-03-18,13000,11292025,12100,11275945,8700,3954835,4800,6539085,3900,6533985,4600,3342340,4500,3335860,300,498300,300,498000
Alameda,2022,12,2022-03-22,2022-03-25,7900,8531595,8700,8522495,5700,2902545,2100,4663635,2400,4661535,3800,2785060,3800,2780560,0,405300,0,405300
Alameda,2022,13,2022-03-30,2022-03-29,17000,11808050,15500,11788770,10500,3692785,9900,6639810,8400,6629910,5200,3676540,5000,3669660,200,520100,200,519900
Alameda,2022,14,2022-04-06,2022-04-06,38800,13444495,26900,13402715,19100,5128830,27600,7875855,15600,7847655,9300,3967540,9400,3956360,0,516100,0,516100
