rank,competitor,dob,nat,sec,pos_sec,pos_full,venue,date,world_athletics_event_ranking_score,men_100,men_100_wind,men_100_score,men_lj,men_lj_wind,men_lj_score,men_sp,men_sp_score,men_hj,men_hj_score,men_400,men_400_score,men_110h,men_110h_wind,men_110h_score,men_dt,men_dt_score,men_pv,men_pv_score,men_jt,men_jt_score,men_1500,men_1500_score,overall_score,average_wind
1,Kevin Mayer,2/10/1992,FRA,1,1,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/16/2018,1302,10.55,0.3,963,7.8,1.2,1010,16,851,2.05,850,48.42,889,13.75,-1.1,1007,50.54,882,5.45,1051,71.9,918,04:36:00,705.49,9126,0.1333333333333333
1,Ashton Eaton,1/21/1988,USA,1,1,1,"National Stadium, Beijing (CHN)",8/29/2015,1289,10.23,-0.4,1040,7.88,0,1030,14.52,760,2.01,813,45,1060,13.69,-0.2,1015,43.34,733,5.2,972,63.63,793,04:17:00,829.09,9045,-0.20000000000000004
1,Ashton Eaton,1/21/1988,USA,1,1,1,"Hayward Field, Eugene, OR (USA)",6/23/2012,1288,10.21,0.4,1044,8.23,0.8,1120,14.2,741,2.05,850,46.7,973,13.7,-0.8,1014,42.81,722,5.3,1004,58.87,721,04:14:00,850.17,9039,0.1333333333333334
1,Roman Šebrle,11/26/1974,CZE,1,1,1,Götzis (AUT),5/27/2001,1286,10.64,0,942,8.11,1.9,1089,15.33,810,2.12,915,47.79,919,13.92,-0.2,985,47.92,827,4.8,849,70.16,892,04:22:00,798.6,9026,0.5666666666666667
1,Damian Warner,11/4/1989,CAN,1,1,1,"National Stadium, Tokyo (JPN)",8/5/2021,1285,10.12,0.2,1066,8.24,0.2,1123,14.8,777,2.02,822,47.48,934,13.46,-1,1045,48.67,843,4.9,880,63.44,790,04:31:00,738.03,9018,-0.19999999999999998
2,Damian Warner,11/4/1989,CAN,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/30/2021,1281,10.14,0.7,1062,8.28,1.2,1133,14.31,747,2.09,887,47.9,914,13.36,0.9,1059,48.43,838,4.8,849,59.46,730,04:25:00,776.98,8995,0.9333333333333332
2,Tomáš Dvořák,5/11/1972,CZE,1,1,1,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1267,10.62,1.5,947,8.07,0.9,1079,16.57,886,2,803,47.74,922,13.8,-0.4,1000,45.51,777,5,910,68.53,867,04:35:00,711.78,8902,0.6666666666666666
1,Roman Šebrle,11/26/1974,CZE,1,1,1,"Olympic Stadium, Athina (GRE)",8/24/2004,1265,10.85,1.5,894,7.84,0.3,1020,16.36,873,2.12,915,48.36,892,14.05,1.5,968,48.72,844,5,910,70.52,897,04:40:00,680.73,8893,1.0999999999999999
1,Ashton Eaton,1/21/1988,USA,1,1,1,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1265,10.46,-0.1,985,7.94,1.7,1045,14.73,773,2.01,813,46.07,1005,13.8,0.7,1000,45.49,777,5.2,972,59.77,734,04:23:00,789.48,8893,0.7666666666666666
2,Ashton Eaton,1/21/1988,USA,1,1,1,"Olympic Stadium, London (GBR)",8/9/2012,1261,10.35,0.4,1011,8.03,0.8,1068,14.66,769,2.05,850,46.9,963,13.56,0.1,1032,42.53,716,5.2,972,61.96,767,04:33:00,721.71,8869,0.4333333333333334
1,Garrett Scantling,5/19/1993,USA,1,1,1,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1261,10.68,0.9,933,7.68,2,980,16.12,859,2.04,840,48.38,891,13.59,1,1028,51.04,892,5.15,957,67.16,846,04:46:00,641.22,8867,1.3
2,Roman Šebrle,11/26/1974,CZE,1,1,1,Götzis (AUT),5/30/2004,1257,10.92,0.5,878,7.86,3.3,1025,16.22,865,2.09,887,48.59,881,14.15,0.3,955,47.44,817,5,910,71.1,906,04:34:00,718.48,8842,1.3666666666666665
2,Kevin Mayer,2/10/1992,FRA,1,2,2,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1256,10.81,-0.4,903,7.6,0.1,960,15.76,836,2.04,840,48.28,896,14.02,0.7,972,46.78,804,5.4,1035,65.04,814,04:25:00,774.98,8834,0.1333333333333333
1,Bryan Clay,1/3/1980,USA,1,1,1,"Eugene, OR (USA)",6/30/2008,1256,10.39,-0.4,1001,7.39,-1.6,908,15.17,800,2.08,878,48.41,889,13.75,1.9,1007,52.74,928,5,910,70.55,898,04:51:00,613.33,8832,-0.03333333333333336
3,Bryan Clay,1/3/1980,USA,1,2,2,"Olympic Stadium, Athina (GRE)",8/24/2004,1254,10.44,2.2,989,7.96,0.2,1050,15.23,804,2.06,859,49.19,852,14.13,1.5,958,50.11,873,4.9,880,69.71,885,04:41:00,670.44,8820,1.3
2,Kevin Mayer,2/10/1992,FRA,1,1,1,"Hayward Field, Eugene, OR (USA)",7/24/2022,1253,10.62,0.8,947,7.54,1.1,945,14.98,788,2.05,850,49.4,842,13.92,1.1,985,49.44,859,5.4,1035,70.31,894,04:41:00,671.75,8816,1
3,Erki Nool,6/25/1970,EST,1,2,2,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1253,10.6,1.5,952,7.63,2,967,14.9,784,2.03,831,46.23,997,14.4,0,924,43.4,734,5.4,1035,67.01,844,04:29:00,747.86,8815,1.1666666666666667
1,Ashton Eaton,1/21/1988,USA,1,1,1,"Luzhniki Stadion, Moskva (RUS)",8/11/2013,1252,10.35,-0.5,1011,7.73,0.3,992,14.39,752,1.93,740,46.02,1007,13.72,0.4,1011,45,767,5.2,972,64.83,811,04:29:00,746.42,8809,0.06666666666666667
1,Roman Šebrle,11/26/1974,CZE,1,1,1,Götzis (AUT),6/1/2003,1252,10.78,-0.2,910,7.86,1.2,1025,15.41,815,2.12,915,47.83,917,13.96,0,980,43.42,734,4.9,880,69.22,877,04:28:00,754.12,8807,0.3333333333333333
1,Roman Šebrle,11/26/1974,CZE,1,1,1,Götzis (AUT),6/2/2002,1251,10.95,0.5,872,7.79,1.8,1007,15.5,820,2.12,915,48.35,892,13.89,1.6,989,48.02,829,5,910,68.97,874,04:38:00,692.43,8800,1.3
