"","possession_team_name","player_name","position_name","player_name_gk","period","minute","second","duration","under_pressure","play_pattern_name","shot_technique_name","shot_body_part_name","shot_outcome_name","location_x","location_y","location_x_gk","location_y_gk","dist_to_goal","dist_to_keeper","angle_to_goal","angle_to_keeper","angle_deviation","avevelocity","dist_sgk","density_incone","attackers_behind_ball","defenders_behind_ball","defenders_in_cone","in_cone_gk","time_in_poss","time_to_poss_end","goal","xg_glm"
"1","Tunisia","Youssef Msakni","Left Wing","Kasper Schmeichel",1,2,2,0.338598,FALSE,"From Goal Kick","Normal","Right Foot","Blocked",92.6,52,117.3,39.6,29.9125391767399,2.72946881279124,113.651313326642,81.5730309785194,32.0782823481228,28.4044561126636,27.6378363842035,0.103511682340756,3,5,1,1,22.754,0.457999999999998,"0",0.023761745406906
"2","Tunisia","Issam Jebali","Center Forward","Kasper Schmeichel",1,4,10,0.105592,FALSE,"Regular Play","Normal","Left Foot","Blocked",114,54.8,118.9,43.8,15.9699718221417,3.95600808897049,157.93210043759,163.855661219717,5.92356078212683,15.2999227416883,12.0420097990327,0.451753951452627,1,2,1,1,17.839,99.625,"0",0.205137780607759
"3","Tunisia","Mohamed Dräger","Right Wing Back","Kasper Schmeichel",1,10,46,0.136106,FALSE,"From Throw In","Normal","Right Foot","Blocked",93.4,44.5,115.7,39.8,26.9779539624487,4.30464865000617,99.6019825761851,87.3369992339327,12.2649833422524,34.8121544692581,22.7899100480893,0.184396421121473,4,7,1,1,7.74000000000001,1.19000000000005,"0",0.0180572620487609
"4","Tunisia","Youssef Msakni","Left Wing","Kasper Schmeichel",1,11,47,0.970357,FALSE,"From Corner","Normal","Head","Off T",114.7,29.6,118.6,39,11.6726175299288,1.72046505340853,27.0040907027596,54.4623222080257,27.4582315052661,15.2343521295795,10.1769347054995,0,0,4,0,1,0.949000000000069,0.969999999999914,"0",0.173099419420206
"5","Denmark","Kasper Dolberg","Left Center Forward","Aymen Dahmen",1,22,5,0.013816,FALSE,"From Corner","Volley","Right Foot","Blocked",115.3,32.5,118.2,36.9,8.85098864534353,3.58468966578698,32.0740008752941,30.1413855520753,1.93261532321877,106.86756702543,5.26972485050216,0,0,1,0,1,8.8710000000001,3.44000000000005,"0",0.210733944914987
"6","Denmark","Joachim Andersen","Right Center Back","Aymen Dahmen",1,22,9,0.956656,FALSE,"From Corner","Half Volley","Left Foot","Saved",99.7,30.3,118.7,37.7,22.4984443906684,2.64196896272458,64.4600124352861,29.4758890032457,34.9841234320404,21.4886408159802,20.3901937214927,0.457821421745995,5,9,4,1,12.3110000000001,0,"0",0.0231784422721419
"7","Denmark","Pierre-Emile Højbjerg","Right Center Midfield","Aymen Dahmen",1,32,58,1.098524,FALSE,"From Corner","Normal","Right Foot","Saved",95.4,19,118.8,39.5,32.3443967326645,1.3,49.5139884580013,67.3801350519596,17.8661465939584,27.2755172231843,31.1096448067155,0,7,10,0,1,7.10199999999986,0,"0",0.0242864415419839
"8","Tunisia","Yassine Meriah","Center Back","Kasper Schmeichel",1,38,12,0.308007,FALSE,"From Corner","Half Volley","Right Foot","Blocked",111.4,49.3,118.8,42.9,12.666885963014,3.13847096529504,137.239475937952,157.520565602897,20.2810896649449,3.67319849840579,9.783659846908,1.06260357781512,3,6,3,1,1.42700000000013,2.0590000000002,"0",0.0563507282662762
"9","Tunisia","Aïssa Bilal Laïdouni","Left Defensive Midfield","Kasper Schmeichel",1,38,14,0.457712,FALSE,"From Corner","Normal","Right Foot","Off T",115,52.2,118.6,42.9,13.1848397790796,3.22024843762093,157.714412353167,154.230672375661,3.48373997750602,19.6933403289841,9.9724620831568,0,1,3,0,1,3.02800000000025,0.458000000000084,"0",0.190164653072614
"10","Tunisia","Issam Jebali","Center Forward","Kasper Schmeichel",1,42,0,0.240168,FALSE,"From Throw In","Lob","Right Foot","Saved",112,44.9,115.1,43.2,9.38136450629651,5.85234995535982,121.487469364214,123.146995832256,1.659526468042,12.4981937808564,3.53553390593273,0,0,0,0,1,4.49099999999999,0.239999999999782,"0",0.214460622889993
"11","Tunisia","Ellyes Joris Skhiri","Right Defensive Midfield","Kasper Schmeichel",1,42,47,1.034336,FALSE,"From Corner","Half Volley","Left Foot","Off T",99.8,40.9,112.8,38.2,20.2200395647486,7.42159012611179,92.5510950890011,75.9637565320736,16.5873385569275,19.5533533864541,13.2774244490413,0.30222974213757,6,10,4,1,3.7470000000003,1.03399999999965,"0",0.0276264241288423
"12","Tunisia","Issam Jebali","Center Forward","Kasper Schmeichel",2,45,11,0.033796,TRUE,"From Kick Off","Normal","Head","Wayward",112.1,47.5,119,42.2,10.893117092917,2.41660919471892,133.512132471172,155.556045219583,22.0439127484113,87.0750323681036,8.70057469366249,1.64398987305355,0,2,1,1,10.5639999999999,0.19399999999996,"0",0.106525517663942
"13","Tunisia","Youssef Msakni","Left Wing","Kasper Schmeichel",2,45,45,0.582704,FALSE,"From Corner","Volley","Right Foot","Off T",114.7,48.7,119,41.6,10.187246929372,1.88679622641132,148.650419134757,147.994616791917,0.655802342840474,10.3680822283652,8.30060238777885,0,1,1,0,1,1.12000000000035,0.582999999999629,"0",0.181992544638586
"14","Tunisia","Mohamed Dräger","Right Wing Back","Kasper Schmeichel",2,50,57,0.32378,FALSE,"From Corner","Normal","Right Foot","Blocked",92.2,49.3,116,41.9,29.3143309662697,4.42831796509691,108.496756543837,115.407718108948,6.91096156511159,25.297574130243,24.923884127479,0.329432121383359,5,10,4,1,8.29300000000012,1.16999999999962,"0",0.0082255150976682
"15","Tunisia","Ellyes Joris Skhiri","Right Defensive Midfield","Kasper Schmeichel",2,52,1,0.428801,FALSE,"From Corner","Volley","Right Foot","Blocked",99.5,39.6,118.7,39.7,20.5039020676553,1.33416640641263,88.8821754176137,77.0053832080836,11.8767922095301,27.5195806940887,19.2002604149006,0.15986554635357,5,9,2,1,3.90199999999959,1.85800000000017,"0",0.0249722603099103
"16","Tunisia","Dylan Daniel Mahmoud Bronn","Right Center Back","Kasper Schmeichel",2,52,2,0.05422,FALSE,"From Corner","Half Volley","Right Foot","Blocked",103.9,36.4,118,40.3,16.4975755794601,2.02237484161567,77.3958527162382,98.530765609948,21.1349128937099,45.6263993982034,14.6294224082839,0.524313596970903,3,7,2,1,5.60499999999956,0.1550000000002,"0",0.0366546853738125
"17","Denmark","Kasper Dolberg","Center Forward","Aymen Dahmen",2,56,32,1.075971,FALSE,"From Throw In","Normal","Head","Wayward",117,35,118.5,37.8,5.8309518948453,2.66270539113887,30.9637565320735,34.2868769772089,3.32312044513542,16.370250642265,3.17647603485372,0,0,1,0,1,65.3819999999996,31.0420000000004,"0",0.282729292280279
"18","Denmark","Christian Dannemann Eriksen","Center Attacking Midfield","Aymen Dahmen",2,68,26,0.451749,FALSE,"From Keeper","Normal","Left Foot","Saved",99.2,36.8,115.3,38.9,21.0447143007454,4.82700735445887,81.2538377374448,76.8274465766731,4.42639116077167,38.4431059656445,16.2363789066405,0.243612768567048,2,5,1,1,33.0749999999998,0.452000000000226,"0",0.0510059089255925
"19","Denmark","Andreas Christensen","Left Center Back","Aymen Dahmen",2,69,15,0.721076,TRUE,"From Corner","Normal","Head","Wayward",117.4,37,119.6,38.3,3.96988664825584,1.7464249196573,40.9143832200251,13.2405199151874,27.6738633048377,9.75514669470012,2.55538646783612,1.37360563948689,1,2,1,1,2.53899999999976,37.2920000000004,"0",0.0747871444653044
"20","Denmark","Andreas Evald Cornelius","Center Forward","Aymen Dahmen",2,69,16,0.058813,FALSE,"From Corner","Normal","Head","Post",118.2,43.9,119.5,40.4,4.2953463189829,0.640312423743284,155.224859431168,128.65980825409,26.5650511770781,30.7938215637271,3.73363094051889,0.672672793996312,1,1,1,1,3.44499999999971,36.3860000000004,"0",0.188033331809563
"21","Denmark","Mathias Jensen","Left Defensive Midfield","Aymen Dahmen",2,75,27,0.995427,FALSE,"Regular Play","Normal","Right Foot","Off T",102.5,24.2,118.6,39.1,23.5773196101677,1.66433169770933,47.9224726680249,57.2647737278925,9.34230105986764,20.003785060823,21.9367271943652,0.798086884467625,3,6,1,1,31.7970000000005,0.996000000000095,"0",0.050405416682851
"22","Denmark","Andreas Evald Cornelius","Center Forward","Aymen Dahmen",2,91,9,1.23914,TRUE,"From Throw In","Normal","Head","Saved",114.4,36.8,118.7,38.2,6.44980619863884,2.22036033111745,60.2551187030577,35.8376529542783,24.4174657487794,4.40542442789553,4.522167621838,1.16247638743819,1,3,1,1,2.39999999999964,0,"0",0.101202645535454
"23","Denmark","Joakim Mæhle","Left Back","Aymen Dahmen",2,91,41,0.164703,FALSE,"Regular Play","Normal","Right Foot","Blocked",95,30.2,116.5,38.8,26.8521879927875,3.7,68.5948205698815,71.0753555839487,2.48053501406726,9.5034552148404,23.1562086706784,0.105661972268222,3,6,1,1,9.44999999999982,2.79799999999977,"0",0.0334650367896455
