player,age,team,position,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throws_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,860,1656,163,435,697,1221,601,669,67,312,486,131,77,183,164,2484
Anthony Edwards,23,MIN,SG,79,79,2871,721,1612,320,811,401,801,415,496,61,389,359,91,51,249,150,2177
Nikola Jokić,29,DEN,C,70,70,2571,786,1364,138,331,648,1033,361,451,200,692,716,127,45,230,160,2071
Giannis Antetokounmpo,30,MIL,PF,67,67,2289,793,1319,14,63,779,1256,436,707,147,651,433,58,78,206,155,2036
Jayson Tatum,26,BOS,PF,72,72,2624,662,1465,250,728,412,737,358,440,48,575,431,76,38,209,157,1932
Devin Booker,28,PHO,SG,75,75,2795,654,1420,183,551,471,869,432,483,76,229,529,67,16,220,198,1923
Trae Young,26,ATL,PG,76,76,2739,566,1376,218,642,348,734,491,561,36,200,880,91,12,355,145,1841
Tyler Herro,25,MIA,SG,77,77,2725,651,1378,251,670,400,708,287,327,35,364,424,69,17,198,85,1840
Cade Cunningham,23,DET,PG,70,70,2452,684,1457,149,418,535,1039,313,370,56,369,638,71,53,309,195,1830
James Harden,35,LAC,PG,79,79,2789,531,1295,235,668,296,627,505,578,55,401,687,118,55,341,162,1802
Karl-Anthony Towns,29,NYK,C,72,72,2517,639,1215,142,338,497,877,339,409,212,708,222,71,50,192,249,1759
Zach LaVine,29,CHI,SF,42,42,1432,363,710,136,305,227,405,145,182,12,190,189,39,10,121,64,1007
Zach LaVine,29,SAC,SG,32,32,1170,262,513,103,231,159,282,90,103,10,103,121,19,2,87,57,717
Jalen Green,22,HOU,SG,82,82,2697,608,1437,234,661,374,776,273,336,45,332,282,71,27,203,127,1723
Stephen Curry,36,GSW,PG,70,70,2252,564,1258,311,784,253,474,279,299,40,270,421,80,30,200,95,1718
DeMar DeRozan,35,SAC,SF,77,77,2768,624,1308,84,256,540,1052,378,441,50,248,342,62,32,105,150,1710
LeBron James,40,LAL,SF,70,70,2444,651,1270,149,396,502,874,259,331,72,474,575,70,39,260,99,1710
Donovan Mitchell,28,CLE,SG,71,71,2232,585,1320,233,633,352,687,298,362,57,265,354,95,17,149,140,1701
Jalen Brunson,28,NYK,PG,65,65,2301,585,1200,152,397,433,803,368,448,27,160,475,60,8,164,138,1690
Kevin Durant,36,PHO,PF,62,62,2265,592,1124,160,372,432,752,303,361,23,351,263,50,77,190,104,1647
Jaren Jackson Jr.,25,MEM,C,74,74,2207,592,1213,146,389,446,824,311,398,91,326,148,92,113,153,257,1641
Pascal Siakam,30,IND,PF,78,78,2548,613,1182,126,324,487,858,226,308,133,407,263,70,42,109,189,1578
Darius Garland,25,CLE,PG,75,75,2301,554,1174,212,529,342,645,224,255,47,167,506,91,11,189,143,1544
Coby White,24,CHI,SG,74,73,2450,508,1121,216,584,292,537,277,307,25,248,330,69,16,177,154,1509
Jalen Williams,23,OKC,SG,69,69,2237,565,1168,124,340,441,828,236,299,59,310,354,111,46,150,158,1490
Austin Reaves,26,LAL,SG,73,73,2550,477,1037,200,531,277,506,321,366,61,268,421,81,22,177,151,1475
De'Aaron Fox,27,SAC,PG,45,45,1663,414,883,92,286,322,597,204,246,45,180,276,66,20,133,118,1124
De'Aaron Fox,27,SAS,PG,17,17,578,125,280,26,95,99,185,59,72,9,64,116,25,5,41,46,335
Alperen Şengün,22,HOU,C,76,76,2395,567,1143,21,90,546,1053,296,428,262,524,372,84,61,194,209,1451
Franz Wagner,23,ORL,SF,60,60,2023,537,1161,104,352,433,809,271,311,56,286,284,75,21,138,147,1449
Damian Lillard,34,MIL,PG,58,58,2093,444,992,197,524,247,468,362,393,29,243,410,70,10,162,97,1447
Mikal Bridges,28,NYK,SF,82,82,3036,592,1183,164,463,428,720,96,118,71,188,306,75,43,132,127,1444
Jamal Murray,27,DEN,PG,67,67,2418,531,1121,156,397,375,724,218,246,45,216,403,91,33,138,128,1436
Bam Adebayo,27,MIA,C,78,78,2674,540,1113,79,221,461,892,251,328,185,564,337,98,53,161,162,1410
Luka Dončić,25,DAL,PG,22,22,785,216,466,75,212,141,254,112,146,16,167,172,44,9,75,58,619
Luka Dončić,25,LAL,PG,28,28,984,245,559,102,269,143,290,197,249,24,202,211,45,12,104,68,789
Jaylen Brown,28,BOS,SF,63,63,2158,518,1118,116,358,402,760,246,322,82,286,286,73,19,162,154,1398
Michael Porter Jr.,26,DEN,SF,77,77,2593,528,1048,193,489,335,559,149,194,138,402,165,50,38,104,157,1398
Jordan Poole,25,WAS,SG,68,68,2001,457,1057,235,622,222,435,242,274,31,172,303,86,27,204,201,1391
Tyrese Maxey,24,PHI,PG,52,52,1960,477,1091,161,478,316,613,254,289,15,159,317,91,21,124,116,1369
Tyrese Haliburton,24,IND,PG,73,73,2451,476,1006,218,562,258,444,189,222,42,216,673,105,49,120,92,1359
Nikola Vučević,34,CHI,C,73,72,2278,550,1038,129,321,421,717,120,149,178,557,256,61,52,119,163,1349
Anfernee Simons,25,POR,SG,70,70,2292,479,1125,215,593,264,532,175,194,25,164,337,60,5,143,117,1348
Ivica Zubac,27,LAC,C,80,80,2624,592,942,0,0,592,942,156,236,300,710,214,55,90,127,168,1340
Domantas Sabonis,28,SAC,C,70,70,2429,527,893,65,156,462,737,218,289,267,705,423,48,26,202,229,1337
Malik Beasley,28,DET,SG,82,18,2283,461,1071,319,766,142,305,95,140,47,167,139,73,5,83,125,1336
Shaedon Sharpe,21,POR,SG,72,52,2252,499,1104,147,472,352,632,190,242,68,256,198,62,16,150,120,1335
OG Anunoby,27,NYK,PF,74,74,2706,489,1027,171,460,318,567,183,226,97,261,164,110,65,102,172,1332
Desmond Bane,26,MEM,SG,69,68,2205,493,1018,164,418,329,600,177,198,62,356,369,80,28,169,164,1327
Evan Mobley,23,CLE,PF,71,71,2167,505,906,85,230,420,676,221,305,164,495,226,61,113,145,141,1316
Norman Powell,31,LAC,SG,60,60,1958,457,945,179,428,278,517,213,265,21,169,125,73,9,108,114,1306
Miles Bridges,26,CHO,PF,64,64,2029,469,1089,141,450,328,639,221,254,72,409,248,44,45,136,93,1300
Julius Randle,30,MIN,PF,69,69,2226,455,939,108,314,347,625,270,335,144,343,323,47,16,196,175,1288
Anthony Davis,31,LAL,C,42,42,1440,400,758,28,94,372,664,253,321,119,380,141,54,90,93,82,1081
Anthony Davis,31,DAL,PF,9,9,266,70,152,7,30,63,122,33,48,15,76,40,5,20,20,16,180
Scottie Barnes,23,TOR,PF,65,65,2134,474,1063,76,280,398,783,228,302,109,393,378,93,63,185,113,1252
Derrick White,30,BOS,SG,76,76,2574,424,959,265,691,159,268,135,161,67,274,361,72,80,131,138,1248
Kyrie Irving,32,DAL,SG,50,50,1804,447,945,144,359,303,586,196,214,60,180,231,66,23,111,101,1234
RJ Barrett,24,TOR,SF,58,58,1869,460,982,107,306,353,676,196,311,61,305,314,46,17,165,137,1223
Deni Avdija,24,POR,SF,72,54,2161,402,844,125,342,277,502,290,372,110,412,281,71,35,196,171,1219
Christian Braun,23,DEN,SG,79,77,2675,476,821,89,224,387,597,177,214,98,312,205,85,37,81,170,1218
Paolo Banchero,22,ORL,PF,46,46,1582,412,911,87,272,325,639,280,385,51,294,219,36,28,136,97,1191
Stephon Castle,20,SAS,PG,81,47,2162,423,988,95,333,328,655,249,344,89,208,332,74,22,177,164,1190
LaMelo Ball,23,CHO,PG,47,47,1505,406,1003,179,528,227,475,193,229,47,185,346,54,13,167,157,1184
CJ McCollum,33,NOP,PG,56,56,1832,444,1000,171,459,273,541,124,173,42,170,227,46,24,106,124,1183
Ja Morant,25,MEM,PG,50,50,1519,404,889,88,285,316,604,263,319,34,171,364,61,12,185,113,1159
Collin Sexton,26,UTA,SG,63,61,1758,416,867,110,271,306,596,217,251,60,111,264,47,6,160,144,1159
