"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-05-20","87.2","-2.15","5.43","Ohtani, Shohei",665487,660271,"grounded_into_double_play","hit_into_play",,,,,14,"Fernando Tatis Jr. grounds into a double play, shortstop Mookie Betts to second baseman Hyeseong Kim to first baseman Freddie Freeman. Freddy Fermin out at 2nd. Fernando Tatis Jr. out at 1st.","R","R","R","SD","LAD","X",6,"ground_ball",0,0,2026,"1.27","0.34",0.9992870675344332,2.161370429279948,669369,657656,666023,1,5,"Bot",109.24,151.68,,,,,4.861100779235913,-126.9597294495515,-2.175853392349546,12.644858576247625,27.486016570680732,-28.26466454056624,3.346382874,1.68882874,63,"94.6",2,"87.9",2786,"6.9",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.65",0.429,0.415,"0",1,0,0,4,42,1,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",66,"-0.186","-0.331","86.8","7.8",,0.507,"0.331","94.6",-3,-3,0.323,0.323,31,27,32,27,3,2,7,1,7,2,"2.67","-1.27","-1.27","30.8",12.771798634164401,-2.3977948936894062,26.19892694371925,47.3335598686364,38.14904670445695
"FF","2026-05-20","96.6","-2.17","5.35","Ohtani, Shohei",666023,660271,"walk","ball",,,,,12,"Freddy Fermin walks.","R","R","R","SD","LAD","B",,,3,2,2026,"-0.16","0.82",0.48864326761379107,3.615304156624149,669369,657656,,1,5,"Bot",,,,,,,7.455526567555137,-140.48216194987458,-0.7729111493803765,-3.909255188555467,34.25467222343313,-21.36738717248487,3.105036089,1.567027559,,,,"97.6",2488,"7.1",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.44",,0.700559,"0.7",1,0,0,,41,6,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",201,"0.025","0.189",,,,,"-0.189",,-3,-3,0.298,0.298,31,31,32,31,2,1,7,1,7,3,"1.64","0.16","0.16","32.4",,,,,
"ST","2026-05-20","86.7","-2.13","5.33","Ohtani, Shohei",666023,660271,,"blocked_ball",,,,,14,,"R","R","R","SD","LAD","B",,,2,2,2026,"1.61","-0.18",2.34885258493925,0.42407357154645364,669369,657656,,1,5,"Bot",,,,,,,7.275066778024876,-126.03833163639078,-4.884192616173968,15.485501896682283,27.910521844484645,-33.2066182284751,3.105036089,1.567027559,,,,"87.4",2963,"7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.51",,,,,,,,41,5,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",64,"0.018","0.028",,,,,"-0.028",,-3,-3,0.28,0.28,31,31,32,31,2,1,7,1,7,3,"3.24","-1.61","-1.61","31.6",,,,,
"SI","2026-05-20","94.4","-1.96","5.5","Ohtani, Shohei",666023,660271,,"called_strike",,,,,9,,"R","R","R","SD","LAD","S",,,2,1,2026,"-1.1","0.62",0.7487392819595391,2.027803444415465,669369,,657656,1,5,"Bot",,,,,,,9.56031895427698,-137.17091032317487,-4.581410790417711,-15.99549527378998,29.72737606155213,-23.473915383322712,3.105036089,1.567027559,,,,"95.5",2316,"7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.54",,,,,,,,41,4,"Sinker",0,3,0,3,3,0,0,3,"Standard","Standard",213,"0.006","-0.109",,,,,"0.109",,-3,-3,0.274,0.274,31,31,32,31,2,1,7,1,7,3,"1.94","1.1","1.1","30.4",,,,,
"ST","2026-05-20","84.8","-2.02","5.7","Ohtani, Shohei",666023,660271,,"ball",,,,,14,,"R","R","R","SD","LAD","B",,,1,1,2026,"1.32","0.01",1.4939607643324533,1.2894444524913755,669369,,657656,1,5,"Bot",,,,,,,5.472615057294591,-123.35113550769456,-3.74718937978969,12.26319489011572,25.867305975867733,-31.50062251807923,3.105036089,1.567027559,,,,"85.4",2782,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.68",,,,,,,,41,3,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",58,"0.01","0.101",,,,,"-0.101",,-3,-3,0.264,0.264,31,31,32,31,2,1,7,1,7,3,"3.18","-1.32","-1.32","39.1",,,,,
"ST","2026-05-20","85.2","-2.08","5.48","Ohtani, Shohei",666023,660271,,"ball",,,,,14,,"R","R","R","SD","LAD","B",,,0,1,2026,"1.41","-0.14",2.193992916360398,1.1682768364761178,669369,,657656,1,5,"Bot",,,,,,,7.088018837811795,-123.83441178440481,-3.2195631587799056,12.734471018144996,27.8566100304047,-33.06356618042806,3.105036089,1.567027559,,,,"85.7",2802,"6.9",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.56",,,,,,,,41,2,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",57,"0.007","0.004",,,,,"-0.004",,-3,-3,0.257,0.257,31,31,32,31,2,1,7,1,7,3,"3.32","-1.41","-1.41","33.5",,,,,
"ST","2026-05-20","84.7","-2.1","5.47","Ohtani, Shohei",666023,660271,,"swinging_strike",,,,,14,,"R","R","R","SD","LAD","S",,,0,0,2026,"1.47","0.13",0.9669065612288339,1.3329971268851186,669369,,657656,1,5,"Bot",,,,,,,4.1029150800674765,-123.22684539611922,-3.3080768203989495,14.034909717710066,26.252325907416154,-30.40943775711813,3.105036089,1.567027559,,,,"85.2",2775,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.71",,,,,,,,41,1,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",72,"-0.011","-0.053","60.8","8.8","7.856574528",,"0.053",,-3,-3,0.268,0.268,31,31,32,31,2,1,7,1,7,3,"3.07","-1.47","-1.47","34.3",33.539658258088224,-38.64226779419026,34.80255266604872,41.89453282125308,55.25077200214511
"SI","2026-05-20","94.7","-1.88","5.51","Ohtani, Shohei",657656,660271,"force_out","hit_into_play",,,,,5,"Ramón Laureano grounds into a force out, pitcher Shohei Ohtani to second baseman Hyeseong Kim. Nick Castellanos out at 2nd. Ramón Laureano to 1st.","R","R","R","SD","LAD","X",1,"ground_ball",0,0,2026,"-1.49","0.39",-0.19175820413813294,2.4466611340165674,669369,,592206,0,5,"Bot",127.49,183.1,,,,,7.821739628764563,-137.68978914887427,-2.9827358693140633,-20.756062722597793,32.97173515713195,-26.722533595985954,3.064665354,1.546653543,8,"98.1",-17,"95.3",2152,"6.9",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.61",0.198,0.178,"0",1,0,0,2,40,1,"Sinker",0,3,0,3,3,0,0,3,"Standard","Standard",219,"-0.068","-0.257","69.3","5.9",,0.205,"0.257","98.1",-3,-3,0.336,0.336,31,31,32,32,2,1,7,1,7,2,"2.17","1.49","1.49","32.7",-2.3966165419076577,24.828518302773084,30.014900629009034,38.56027078352938,21.149977615776898
"FF","2026-05-20","98.2","-2.02","5.49","Ohtani, Shohei",592206,660271,"single","hit_into_play",,,,,2,"Nick Castellanos singles on a line drive to right fielder Kyle Tucker. Bryce Johnson to 3rd.","R","R","R","SD","LAD","X",9,"line_drive",1,2,2026,"-0.07","0.97",0.21118185389650315,3.2689736901179036,,,669369,0,5,"Bot",162.45,129.83,,,,,6.187649271491562,-142.93456289050346,-2.6587926029961833,-2.474250536975805,34.19932963622729,-18.433730015724798,3.329708005,1.680413386,145,"88.3",10,"99",2530,"6.8",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.72",0.509,0.461,"0.9",1,1,0,4,39,6,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard",210,"0.112","0.543","66.9","6.5",,0.547,"-0.543","88.3",-3,-3,0.224,0.224,31,34,32,34,2,1,7,1,7,2,"1.4","0.07","0.07","30.9",-2.3003754325768497,11.64466762771603,35.344734528381345,38.66095307060496,15.364906502077245
"ST","2026-05-20","84.8","-1.78","5.94","Ohtani, Shohei",592206,660271,,"foul",,,,,14,,"R","R","R","SD","LAD","S",,,1,2,2026,"0.98","-0.01",0.8579008192310419,1.617125562030353,,,669369,0,5,"Bot",,,,,,,4.1278456539265,-123.39656240694138,-3.5118696777994574,9.098153692717606,25.33523376131052,-31.737515604469042,3.329708005,1.680413386,,,,"85.3",2760,"6.7",823299,669257,518692,808975,571970,605141,606192,681624,663656,"53.8",,,,,,,,39,5,"Sweeper",0,3,0,3,3,0,0,3,"Standard","Standard",58,"0","0","66.7","8.5",,,"0",,-3,-3,0.224,0.224,31,34,32,34,2,1,7,1,7,2,"3.18","-0.98","-0.98","43.0",3.9085705542205407,-39.97616816704588,52.01308035172407,45.63593526690396,33.8314796267222
