"","race","event","elevation_gain","elevation_loss","n_finishers","mean_finish_time"
"1","100Miles","GOLDEN 100 HONG KONG",9180,-9130,55,37.1154848484848
"2","Valhalla Race","Mad Fox Ultra Revenge",1650,-1650,91,22.817090964591
"3","100M","Brazos Bend 100",2730,-2720,119,24.2266479925303
"4","100Miles","Ultra-Trail® Panoramic",6040,-6050,94,36.7450561465721
"5","Full168","HK168",10400,-10400,61,42.1392577413479
"6","UTTG","Ultra Trail Three Gorges",10410,-10230,54,46.9297325102881
"7","Pong Yaeng Trail 166","Pong Yaeng Trail",8000,-8000,102,43.8884940087146
"8","100mi","Tunnel Hill  100 & 50 mile runs",1540,-1540,225,23.9151407407407
"9","Pinhoti 100","Pinhoti 100",4060,-4180,156,27.8431926638177
"10","Kullamannen Ultra 100 Miles","Kullamannen",4260,-4240,130,30.9381965811966
"11","100 Miles","Javelina Jundred",1720,-1720,425,25.3004235294118
"12","100 millas Valle del Genal","GRAN VUELTA VALLE DEL GENAL",7400,-7400,120,32.0582916666667
"13","100 Mile","Mines of Spain",4330,-4330,54,28.1660082304527
"14","Rodopi Advendurun","Rodopi Ultra Trail",6910,-6910,99,34.5878338945006
"15","La Diagonale Des Fous","Le Grand Raid De La Réunion",9610,-9560,1953,49.1689811970188
"16","Stage Race","Crimea X Run",8310,-8140,209,27.5653548644338
"17","Centurion Autumn 100","Centurion Autumn 100",2060,-2060,154,23.75113997114
"18","100 mi","INDIANA TRAIL 100",3480,-3460,123,25.4343766937669
"19","Ultra-Trail®","Virgin Forest Trail",7260,-7260,52,33.434813034188
"20","100 Miles","100 Miles Sud De France",8420,-10160,141,40.5368400315209
"21","Grindstone 100","Grindstone 100",6980,-6980,198,29.7830218855219
"22","Bear 100 Endurance Trail Race","BEAR 100",6680,-6350,204,30.1477627995643
"23","100 Miles","Black River Run",1030,-1030,60,23.3435046296296
"24","102 Miles","Cotswold Way Century",4130,-4240,55,26.8041161616162
"25","100M","Whistler Alpine Meadows",10310,-10300,79,37.5782208157525
"26","Ultra-Trail®","Adamello Ultra-Trail®",11380,-11380,76,42.3555226608187
"27","Karkloof100","Karkloof100",3330,-3410,91,29.5630097680098
"28","100 Mi","Mogollon Monster 100",5540,-5530,78,30.6147222222222
"29","100 miles","Shinetsu Five Mountains Trail",6570,-6390,328,29.6664312330623
"30","Challange 158","GARMIN ULTRA RACE STOLOWE MOUNTAINS",5350,-5340,53,23.5806970649895
"31","PINE TO PALM 100 MILE ENDURANCE RUN","PINE TO PALM 100 MILE ENDURANCE RUN",5780,-6000,82,27.9658231707317
"32","100m","Superior Fall Trail Race",5200,-5060,180,32.1709228395062
"33","170","SwissPeaks Trail",11780,-13010,83,45.6668975903614
"34","UTMB®","UTMB®",9930,-9930,1559,39.678937531181
"35","Leadville Trial 100 Run","Leadville Trail 100 Run",4230,-4230,377,27.3794429708223
"36","Kodiak 100 Mile","Kodiak Ultra Marathons",5320,-5320,85,31.6862058823529
"37","Ute 100 Mile Trail Race","Ute 100 Mile Trail Race",6180,-6180,80,33.1875208333333
"38","Centurion North Downs Way 100","Centurion North Downs Way 100",3420,-3460,188,25.588423463357
"39","100 Mile","Burning River Endurance Run",2700,-2700,163,26.5214076346285
"40","100M","High Lonesome 100",6480,-6480,87,31.1353991060026
"41","100 Mile","Tahoe Rim Trail Endurance Runs 100M/50M/55K",6170,-6160,156,30.1592913105413
"42","The Gax 100 miles","The Gax 100 miles",2330,-2320,52,25.1882905982906
"43","100M","Vermont 100 Endurance Race",4830,-4840,156,26.4943269230769
"44","100 Miles","OSJ Ontake 100",6200,-6200,58,21.9732662835249
"45","UTC-emergency","Columbia Sanfo Ultra 168-Chongli",7800,-7800,264,40.8823158670034
"46","Ehunmilak Ultra-Trail®","Ehunmilak Ultra-Trail®",10210,-10210,282,37.5118528368794
"47","160K","Nuts Ylläs Pallas",4430,-4510,78,29.5765954415954
"48","Solo","Sinister 7 Ultra",5730,-5740,69,27.319500805153
"49","Bojko Trail 150+","Bojko Trail",7980,-8040,50,33.2610444444444
"50","168km","XTRAIL Kanas Trail Run",5870,-5790,77,40.9427453102453
"51","150km","West Highland Way Race",3640,-3680,196,25.6108857709751
"52","ULTRA 01XT","ULTRA01 by XT",6060,-6060,135,30.9791255144033
"53","Mohican 100 Mile Trail Run","Mohican 100 Trail Run",3630,-3620,95,28.2753918128655
"54","100M","Bighorn Trail Run",6740,-6800,188,30.9619592198582
"55","100 Milhas OMD","Oh Meu Deus",8460,-8460,54,34.1438425925926
"56","Centurion South Downs Way 100","Centurion South Downs Way 100",3340,-3400,305,24.1606229508197
"57","San Diego 100","SAN DIEGO 100",3950,-3950,176,28.0660448232323
