"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"1",TRUE,2,0,10,10,"Pullup Jump Shot"
"2",FALSE,0,19,17,25.4950975679639,"Jump Shot"
"3",TRUE,2,-4,2,4.47213595499958,"Driving Layup Shot"
"4",FALSE,0,0,17,17,"Turnaround Jump Shot"
"5",TRUE,2,-4,2,4.47213595499958,"Running Layup Shot"
"6",FALSE,0,-6,5,7.81024967590665,"Driving Floating Jump Shot"
"7",FALSE,0,-3,3,4.24264068711928,"Driving Layup Shot"
"8",TRUE,2,-4,2,4.47213595499958,"Running Layup Shot"
"9",FALSE,0,-12,25,27.7308492477241,"Pullup Jump Shot"
"10",FALSE,0,-1,9,9.05538513813742,"Turnaround Fade Away Jump Shot"
"11",FALSE,0,-4,7,8.06225774829855,"Turnaround Jump Shot"
"12",FALSE,0,-4,2,4.47213595499958,"Driving Layup Shot"
"13",FALSE,0,-5,24,24.5153013442625,"Step Back Jump Shot"
"14",FALSE,0,-4,2,4.47213595499958,"Driving Layup Shot"
"15",FALSE,0,-5,2,5.3851648071345,"Pullup Jump Shot"
"16",TRUE,2,4,3,5,"Running Layup Shot"
"17",FALSE,0,-3,1,3.16227766016838,"Layup Shot"
"18",FALSE,0,3,20,20.2237484161567,"Jump Shot"
"19",TRUE,2,4,9,9.8488578017961,"Pullup Jump Shot"
"20",FALSE,0,-6,3,6.70820393249937,"Jump Shot"
"21",FALSE,0,-7,2,7.28010988928052,"Turnaround Fade Away Jump Shot"
"22",TRUE,2,2,17,17.1172427686237,"Jump Shot"
"23",FALSE,0,-9,3,9.48683298050514,"Pullup Jump Shot"
"24",FALSE,0,-1,19,19.0262975904404,"Jump Shot"
"25",TRUE,2,-4,17,17.464249196573,"Jump Shot"
"26",TRUE,2,-5,15,15.8113883008419,"Jump Shot"
"27",TRUE,3,17,18,24.7588368062799,"Jump Shot"
"28",FALSE,0,4,2,4.47213595499958,"Driving Layup Shot"
"29",FALSE,0,4,9,9.8488578017961,"Pullup Jump Shot"
"30",FALSE,0,-1,8,8.06225774829855,"Turnaround Jump Shot"
"31",FALSE,0,-14,5,14.8660687473185,"Pullup Jump Shot"
"32",FALSE,0,-9,14,16.6433169770932,"Jump Shot"
"33",TRUE,2,3,1,3.16227766016838,"Driving Layup Shot"
"34",TRUE,2,-1,7,7.07106781186548,"Turnaround Bank Jump Shot"
"35",FALSE,0,8,24,25.298221281347,"Jump Shot"
"36",FALSE,0,-4,1,4.12310562561766,"Driving Layup Shot"
"37",TRUE,2,-5,2,5.3851648071345,"Driving Layup Shot"
"38",TRUE,2,-5,1,5.09901951359278,"Layup Shot"
"39",FALSE,0,-3,12,12.369316876853,"Pullup Jump Shot"
"40",TRUE,2,0,10,10,"Turnaround Fade Away Jump Shot"
"41",FALSE,0,-4,3,5,"Driving Layup Shot"
"42",FALSE,0,1,5,5.09901951359278,"Turnaround Jump Shot"
"43",FALSE,0,-5,1,5.09901951359278,"Driving Floating Jump Shot"
"44",TRUE,2,-4,1,4.12310562561766,"Layup Shot Putback"
"45",FALSE,0,3,5,5.8309518948453,"Turnaround Jump Shot"
"46",TRUE,2,6,3,6.70820393249937,"Layup Shot Putback"
"47",TRUE,2,-5,5,7.07106781186548,"Turnaround Jump Shot"
"48",FALSE,0,0,6,6,"Pullup Jump Shot"
"49",TRUE,2,-3,7,7.61577310586391,"Turnaround Jump Shot"
"50",TRUE,2,12,1,12.0415945787923,"Running Jump Shot"
"51",TRUE,2,5,4,6.40312423743285,"Running Finger Roll Layup"
"52",FALSE,0,-12,12,16.9705627484771,"Pullup Jump Shot"
"53",FALSE,0,6,10,11.6619037896906,"Running Jump Shot"
"54",FALSE,0,4,4,5.65685424949238,"Running Layup Shot"
"55",TRUE,2,-4,9,9.8488578017961,"Pullup Jump Shot"
"56",TRUE,2,15,1,15.0332963783729,"Jump Shot"
"57",FALSE,0,4,3,5,"Layup Shot"
"58",TRUE,2,4,3,5,"Layup Shot Putback"
"59",TRUE,2,-4,3,5,"Fade Away Jump Shot"
"60",TRUE,2,2,1,2.23606797749979,"Cutting Layup Shot"
"61",TRUE,2,-3,14,14.3178210632764,"Step Back Jump Shot"
"62",FALSE,0,4,13,13.6014705087354,"Jump Shot"
"63",FALSE,0,4,5,6.40312423743285,"Layup Shot Putback"
"64",FALSE,0,1,8,8.06225774829855,"Jump Shot"
"65",TRUE,2,-5,6,7.81024967590665,"Turnaround Fade Away Jump Shot"
"66",TRUE,2,3,2,3.60555127546399,"Running Layup Shot"
"67",TRUE,2,3,2,3.60555127546399,"Driving Layup Shot"
"68",TRUE,2,-5,1,5.09901951359278,"Running Layup Shot"
"69",FALSE,0,1,5,5.09901951359278,"Driving Layup Shot"
"70",FALSE,0,-1,6,6.08276253029822,"Fade Away Jump Shot"
